,breed,breed_url,breed_image,breed_group,weight,height,life_expectancy,breed_temperament,pdf_breed_standard,akc_breed_popularity
202,Portuguese Sheepdog,https://www.akc.org/dog-breeds/portuguese-sheepdog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19232016/Portuguese-Sheepdog-close-up.jpg,Foundation Stock Service,37.5-59 pounds,16.5-21.5 inches,12-13 years,"['Intelligent', ' Devoted', ' Lively']",http://www.fci.be/Nomenclature/Standards/093g01-en.pdf,
203,Portuguese Water Dog,https://www.akc.org/dog-breeds/portuguese-water-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12215835/Portugese-Water-Dog-Care.jpg,Working Group,"42-60 pounds (male), 35-50 pounds (female)","20-23 inches (male), 17-21 inches (female)",11-13 years,"['Affectionate', ' Adventurous', ' Athletic']",http://images.akc.org/pdf/breeds/standards/PortugueseWaterDog.pdf,Ranks 50 of 195
204,Pudelpointer,https://www.akc.org/dog-breeds/pudelpointer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28125627/Pudelpointer-Care-1.jpg,Foundation Stock Service,45-70 pounds,22-26 inches,~14 years,"['Friendly', ' Smart', ' Willing to Please']",http://www.fci.be/Nomenclature/Standards/216g07-en.pdf,
205,Pug,https://www.akc.org/dog-breeds/pug/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225427/Pug-Care.jpg,Toy Group,14-18 pounds,10-13 inches,13-15 years,"['Charming', ' Mischievous', ' Loving']",http://images.akc.org/pdf/breeds/standards/Pug.pdf,Ranks 28 of 195
206,Puli,https://www.akc.org/dog-breeds/puli/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225341/Puli-Care.jpg,Herding Group,25-35 pounds,"17 inches (male), 16 inches (female)",10-15 years,"['Loyal', ' Smart', ' Home-Loving']",http://images.akc.org/pdf/breeds/standards/Puli.pdf,Ranks 160 of 195
207,Pumi,https://www.akc.org/dog-breeds/pumi/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225316/Pumi-Care-500x750.jpg,Herding Group,"27-29 pounds (male), 22-24 pounds (female)","16-18.5 inches (male), 15-17.5 inches (female)",12-13 years,"['Energetic', ' Lively', ' Ready to Work']",http://images.akc.org/pdf/breeds/standards/Pumi.pdf,Ranks 151 of 195
208,Pyrenean Mastiff,https://www.akc.org/dog-breeds/pyrenean-mastiff/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28131113/Pyrenean-Mastiff-care.jpg,Foundation Stock Service,120-240 pounds,"30-31 inches (male), 25-30 inches (female)",10-13 years,"['Gentle', ' Brave', ' Noble']",http://www.fci.be/Nomenclature/Standards/092g02-en.pdf,
209,Pyrenean Shepherd,https://www.akc.org/dog-breeds/pyrenean-shepherd/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225235/Pyrenean-Shepherd-Care.jpg,Herding Group,15-30 pounds,"15.5-18.5 inches (male rough-faced), 15-18 inches (female rough-faced), 15.5-21 inches (male smooth-faced), 15.5-20.5 inches (female smooth-faced)",Late teens,"['Affectionate', ' Active', ' Enthusiastic']",http://images.akc.org/pdf/breeds/standards/PyreneanShepherd.pdf,Ranks 181 of 195
210,Rafeiro do Alentejo,https://www.akc.org/dog-breeds/rafeiro-do-alentejo/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190300/Rafeiro-do-Alentejo-Care-500x750.jpg,Foundation Stock Service,77-132 pounds,25-29 inches,12-14 years,"['Confident', ' Calm', ' Powerful']",http://www.fci.be/Nomenclature/Standards/096g02-en.pdf,
211,Rat Terrier,https://www.akc.org/dog-breeds/rat-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210721/Rat-Terrier-Care-500x750.jpg,Terrier Group,10-25 pounds,"10-13 inches (miniature), 13-18 inches (standard)",12-18 years,"['Friendly', ' Inquisitive', ' Lovable']",http://images.akc.org/pdf/breeds/standards/RatTerrier.pdf,Ranks 86 of 195
212,Redbone Coonhound,https://www.akc.org/dog-breeds/redbone-coonhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22231312/Redbone-Coonhound-care1.jpg,Hound Group,45-70 pounds,"22-27 inches (male), 21-26 inches (female)",12-15 years,"['Even-Tempered', ' Amiable', ' Eager to Please']",http://images.akc.org/pdf/breeds/standards/RedboneCoonhound.pdf,Ranks 142 of 195
213,Rhodesian Ridgeback,https://www.akc.org/dog-breeds/rhodesian-ridgeback/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13135438/Rhodesian-Ridgeback-in-a-field.jpg,Hound Group,"85 pounds (male), 70 pounds (female)","25-27 inches (male), 24-26 inches (female)",~10 years,"['Affectionate', ' Dignified', ' Even-Tempered']",http://images.akc.org/pdf/breeds/standards/RhodesianRidgeback.pdf,Ranks 41 of 195
214,Romanian Mioritic Shepherd Dog,https://www.akc.org/dog-breeds/romanian-mioritic-shepherd-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/07/19173821/Romanian-Mioritic-Shepherd-Dog-outdoors-at-sundown.jpg,Foundation Stock Service,100-130 lbs,"27-29 inches (males), 22.5-28 inches (females)",12-14 years,"['Loyal', ' Independent', ' Confident Guardian']",http://www.fci.be/Nomenclature/Standards/349g01-en.pdf,
215,Rottweiler,https://www.akc.org/dog-breeds/rottweiler/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225034/Rottweiler-Care.jpg,Working Group,"95-135 pounds (male), 80-100 pounds (female)","24-27 inches (male), 22-25 inches (female)",9-10 years,"['Loyal', ' Loving', ' Confident Guardian']",http://images.akc.org/pdf/breeds/standards/Rottweiler.pdf,Ranks 8 of 195
216,Russell Terrier,https://www.akc.org/dog-breeds/russell-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212953/Russell-Terrier-Care.jpg,Terrier Group,9-15 pounds,10-12 inches,12-14 years,"['Alert', ' Inquisitive', ' Lively']",http://images.akc.org/pdf/breeds/standards/RussellTerrier.pdf,Ranks 82 of 195
217,Russian Toy,https://www.akc.org/dog-breeds/russian-toy/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03115918/Russian-toy-care1.jpg,Miscellaneous Class,Up to 6.5 pounds,8-11 inches,12-14+ years,"['Loyal', ' Smart', ' Charming']",http://images.akc.org/pdf/breeds/standards/Russian_Toy_Dog.pdf,
218,Russian Tsvetnaya Bolonka,https://www.akc.org/dog-breeds/russian-tsvetnaya-bolonka/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19145453/Russian-Tsvetnaya-Bolonka-standing-on-a-white-background.1.jpg,Foundation Stock Service,4.5-11 pounds,9-10 inches,12-16 years,"['Playful', ' Charming', ' Inquisitive']",http://tsvetnayabolonkaclub.homestead.com/rkfstandard.html,
219,Saint Bernard,https://www.akc.org/dog-breeds/st-bernard/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224917/Saint-Bernard-Care.jpg,Working Group,"140-180 pounds (male), 120-140 pounds (female)","28-30 inches (males), 26-28 inches (female)",8-10 years,"['Playful', ' Charming', ' Inquisitive']",http://images.akc.org/pdf/breeds/standards/SaintBernard.pdf,Ranks 48 of 195
220,Saluki,https://www.akc.org/dog-breeds/saluki/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224825/Saluki-Care.jpg,Hound Group,40-65 pounds,"23-28 inches (male), considerably smaller (female)",10-17 years,"['Gentle', ' Dignified', ' Independent-Minded']",http://images.akc.org/pdf/breeds/standards/Saluki.pdf,Ranks 120 of 195
221,Samoyed,https://www.akc.org/dog-breeds/samoyed/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224750/Samoyed-Care.jpg,Working Group,"45-65 pounds (male), 35-50 pounds (female)","21-23.5 inches (male), 19-21 inches (female)",12-14 years,"['Adaptable', ' Friendly', ' Gentle']",http://images.akc.org/pdf/breeds/standards/Samoyed.pdf,Ranks 59 of 195
222,Schapendoes,https://www.akc.org/dog-breeds/schapendoes/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03132242/Schapendoes.5.jpg,Foundation Stock Service,26-55 pounds,16-20 inches,12-15 years,"['Friendly', ' Watchful', ' Lively']",http://www.fci.be/Nomenclature/Standards/313g01-en.pdf,
223,Schipperke,https://www.akc.org/dog-breeds/schipperke/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224716/Schipperke-Care.jpg,Non-Sporting Group,10-16 pounds,"11-13 inches (male), 10-12 inches (female)",12-14 years,"['Confident', ' Alert', ' Curious']",http://images.akc.org/pdf/breeds/standards/Schipperke.pdf,Ranks 105 of 195
224,Scottish Deerhound,https://www.akc.org/dog-breeds/scottish-deerhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28232751/Scottish-Deerhound-head-portrait-outdoors.jpg,Hound Group,"85-110 pounds (male), 75-95 pounds (female)","30-32 inches (male), 28 inches & up (female)",8-11 years,"['Gentle', ' Dignified', ' Polite']",http://images.akc.org/pdf/breeds/standards/ScottishDeerhound.pdf,Ranks 158 of 195
225,Scottish Terrier,https://www.akc.org/dog-breeds/scottish-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224612/Scottish-Terrier-Care.jpg,Terrier Group,"19-22 pounds (male), 18-21 pounds (female)",10 inches,12 years,"['Confident', ' Independent', ' Spirited']",http://images.akc.org/pdf/breeds/standards/ScottishTerrier.pdf,Ranks 57 of 195
226,Sealyham Terrier,https://www.akc.org/dog-breeds/sealyham-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224531/Sealyham-Terrier-Care.jpg,Terrier Group,"23-24 pounds (male), slightly less (females)",10.5 inches,12-14 years,"['Alert', ' Outgoing', ' Sense Of Humor']",http://images.akc.org/pdf/breeds/standards/SealyhamTerrier.pdf,Ranks 164 of 195
227,Segugio Italiano,https://www.akc.org/dog-breeds/segugio-italiano/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/08/19170330/Segugio-Italiano-care1.jpg,Foundation Stock Service,40-60 pounds,19-23 inches,11-13 years,"['Friendly', ' Intelligent', ' Eager to Please']",http://www.fci.be/Nomenclature/Standards/337g06-en.pdf,
228,Shetland Sheepdog,https://www.akc.org/dog-breeds/shetland-sheepdog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02105814/Shetland-sheepdog-standing-outdoors.jpg,Herding Group,15-25 pounds,13-16 inches,12-14 years,"['Playful', ' Energetic', ' Bright']",http://images.akc.org/pdf/breeds/standards/ShetlandSheepdog.pdf,Ranks 25 of 195
229,Shiba Inu,https://www.akc.org/dog-breeds/shiba-inu/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224425/Shiba-Inu-Care.jpg,Non-Sporting Group,"23 pounds (male), 17 pounds (female)","14.5-16.5 inches (male), 13.5-15.5 inches (female)",13-16 years,"['Alert', ' Active', ' Attentive']",http://images.akc.org/pdf/breeds/standards/ShibaInu.pdf,Ranks 44 of 195
230,Shih Tzu,https://www.akc.org/dog-breeds/shih-tzu/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15123025/Shih-Tzu-portrait.jpg,Toy Group,9-16 pounds,9-10.5 inches,10-18 years,"['Affectionate', ' Playful', ' Outgoing']",http://images.akc.org/pdf/breeds/standards/ShihTzu.pdf,Ranks 20 of 195
231,Shikoku,https://www.akc.org/dog-breeds/shikoku/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19174450/Shikoku-care1.jpg,Foundation Stock Service,35-55 pounds,17-22 inches,10-12 years,"['Energetic', ' Alert', ' Enthusiastic']",http://www.fci.be/Nomenclature/Standards/319g05-en.pdf,
232,Siberian Husky,https://www.akc.org/dog-breeds/siberian-husky/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15140614/Siberian-Husky-standing.jpg,Working Group,"45-60 pounds (male), 35-50 pounds (female)","21-23.5 inches (male), 20-22 inches (female)",12-14 years,"['Loyal', ' Outgoing', ' Mischevious']",http://images.akc.org/pdf/breeds/standards/SiberianHusky.pdf,Ranks 14 of 195
233,Silky Terrier,https://www.akc.org/dog-breeds/silky-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15143713/Silky-Terrier-sitting-in-the-grass.jpg,Toy Group,around 10 pounds,9-10 inches,13-15 years,"['Friendly', ' Quick', ' Keenly Alert']",http://images.akc.org/pdf/breeds/standards/SilkyTerrier.pdf,Ranks 112 of 195
234,Skye Terrier,https://www.akc.org/dog-breeds/skye-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224119/Skye-Terrier-Care.jpg,Terrier Group,"35-45 pounds (male), slightly lighter (female)","10 inches (male), 9.5 inches (female)",12-14 years,"['Courageous', ' Good-Tempered', ' Canny']",http://images.akc.org/pdf/breeds/standards/SkyeTerrier.pdf,Ranks 178 of 195
235,Sloughi,https://www.akc.org/dog-breeds/sloughi/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04225228/Sloughi-standing-outdoors1.jpg,Hound Group,35-50 pounds,"26-29 inches (male), 24-27 inches (female)",10-15 years,"['Reserved', ' Graceful', ' Noble']",https://images.akc.org/pdf/breeds/standards/Sloughi.pdf,Ranks 192 of 195
236,Slovakian Wirehaired Pointer,https://www.akc.org/dog-breeds/slovakian-wirehaired-pointer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/07/10134954/Slovakian-Wirehaired-Pointer-Care.jpg,Foundation Stock Service,50-65 lbs,"24.5-26.5 in (male), 22.5-26 in (female)",12-15 years,,http://www.fci.be/Nomenclature/Standards/320g07-en.pdf,
237,Slovensky Cuvac,https://www.akc.org/dog-breeds/slovensky-cuvac/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19134159/Slovensky-Cuvac-head-portrait-outdoors.jpg,Foundation Stock Service,68-97 pounds,23-27.5 inches,11-13 years,"['Courageous', ' Alert', ' Faithful']",http://www.fci.be/Nomenclature/Standards/142g01-en.pdf,
238,Slovensky Kopov,https://www.akc.org/dog-breeds/slovensky-kopov/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12185807/Slovensky-Kopov-Care.jpg,Foundation Stock Service,33-44 pounds,16-20 inches,12-13 years,"['Courageous', ' Alert', ' Determined']",http://www.fci.be/Nomenclature/Standards/244g06-en.pdf,
239,Small Munsterlander Pointer,https://www.akc.org/dog-breeds/small-munsterlander-pointer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19185956/Munsterlander-care.jpg,Foundation Stock Service,40-60 pounds,20.5-21 inches,12 to 14 years,"['Intelligent', ' Devoted', ' Self-Confident']",http://www.fci.be/Nomenclature/Standards/102g07-en.pdf,
240,Smooth Fox Terrier,https://www.akc.org/dog-breeds/smooth-fox-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28194608/Smooth-Fox-Terrier-day_2_dec_14_066.jpg,Terrier Group,"18 pounds (male), 15-17 (female)",15½ inches,12-15 years,"['Friendly', ' Independent', ' Amusing']",http://images.akc.org/pdf/breeds/standards/SmoothFoxTerrier.pdf,Ranks 123 of 195
241,Soft Coated Wheaten Terrier,https://www.akc.org/dog-breeds/soft-coated-wheaten-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28185159/Soft_Coated_Wheaten_flowers.jpg,Terrier Group,"35-40 pounds (male), 30-35 pounds (female)","18-19 inches (male), 17-18 inches (female)",12-14 years,"['Friendly', ' Happy', ' Deeply Devoted']",http://images.akc.org/pdf/breeds/standards/SoftCoatedWheatenTerrier.pdf,Ranks 53 of 195
242,Spanish Mastiff,https://www.akc.org/dog-breeds/spanish-mastiff/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20122438/Spanish-Mastiff-care.jpg,Foundation Stock Service,140-200 pounds,Minimum 28-35 inches,10-12 years,"['Affectionate', ' Intelligent', ' Kind']",http://www.fci.be/Nomenclature/Standards/091g02-en.pdf,
243,Spanish Water Dog,https://www.akc.org/dog-breeds/spanish-water-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26224010/Spanish-Water-Dog-Care.jpg,Herding Group,"40-49 pounds (male), 31-40 pounds (female)","17.5-19.75 inches (male), 15.75-18 inches (female)",12-14 years,['Playful but also Work-Oriented. Very Active and Upbeat.'],http://images.akc.org/pdf/breeds/standards/SpanishWaterDog.pdf,Ranks 153 of 195
244,Spinone Italiano,https://www.akc.org/dog-breeds/spinone-italiano/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223845/Spinone-Italiano-Care.jpg,Sporting Group,,"23-27 inches (male), 22-25 inches (female)",10-12 years,"['Sociable', ' Patient', ' Docile']",http://images.akc.org/pdf/breeds/standards/SpinoneItaliano.pdf,Ranks 109 of 195
245,Stabyhoun,https://www.akc.org/dog-breeds/stabyhoun/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26174455/Stabyhoun-Care.jpg,Foundation Stock Service,40-60 pounds,19-21 inches,13-15 years,"['Intelligent', ' Responsive', ' Loving']",http://www.fci.be/Nomenclature/Standards/222g07-en.pdf,
246,Staffordshire Bull Terrier,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223815/Staffordshire-Bull-Terrier-Care.jpg,Terrier Group,"28-38 pounds (male), 24-34 pounds (female)",14-16 inches,12-14 years,"['Clever', ' Brave', ' Tenacious']",http://images.akc.org/pdf/breeds/standards/StaffordshireBullTerrier.pdf,Ranks 80 of 195
247,Standard Schnauzer,https://www.akc.org/dog-breeds/standard-schnauzer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15160917/Standard-Schnauzer-head-portrait-outdoors.jpg,Working Group,"35-50 pounds (male), 30-45 pounds (female)","18.5-19.5 inches (male), 17.5-18.5 inches (female)",13-16 years,"['Fearless', ' Smart', ' Spirited']",http://images.akc.org/pdf/breeds/standards/StandardSchnauzer.pdf,Ranks 89 of 195
248,Sussex Spaniel,https://www.akc.org/dog-breeds/sussex-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223702/Sussex-Spaniel-Care.jpg,Sporting Group,35-45 pounds,13-15 inches,13-15 years,"['Friendly', ' Merry', ' Even-Tempered']",http://images.akc.org/pdf/breeds/standards/SussexSpaniel.pdf,Ranks 180 of 195
249,Swedish Lapphund,https://www.akc.org/dog-breeds/swedish-lapphund/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12193249/Swedish-Lapphund-Care.jpg,Foundation Stock Service,30-45 pounds,16-20 inches,12-14 years,"['Playful', ' Intelligent', ' Lively']",http://www.fci.be/Nomenclature/Standards/135g05-en.pdf,
250,Swedish Vallhund,https://www.akc.org/dog-breeds/swedish-vallhund/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223636/Swedish-Vallhund-Care.jpg,Herding Group,20-35 pounds,"12.5-13.75 inches (male), 11.5-12.75 inches (female)",12-15 years,"['Friendly', ' Energetic', ' Watchful']",http://images.akc.org/pdf/breeds/standards/SwedishVallhund.pdf,Ranks 169 of 195
251,Taiwan Dog,https://www.akc.org/dog-breeds/taiwan-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190310/Taiwan-Dog-Care.jpg,Foundation Stock Service,26-40 pounds,17-20 inches,9-13 years,"['Loyal', ' Versatile', ' Intelligent']",http://www.fci.be/Nomenclature/Standards/348g05-en.pdf,
252,Teddy Roosevelt Terrier,https://www.akc.org/dog-breeds/teddy-roosevelt-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190127/Teddy-Roosevelt-Terrier-Care-500x749.jpg,Miscellaneous Class,8-25 pounds,8-15 inches,14-16 years,"['Playful', ' Versatile', ' Intelligent']",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09134136/Teddy-Roosevelt-Terrier.pdf,
253,Thai Ridgeback,https://www.akc.org/dog-breeds/thai-ridgeback/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22192528/Thai-Ridgeback1.jpg,Foundation Stock Service,35-75 pounds,20-24 inches,12-13 years,"['Loyal', ' Independent', ' Agile']",http://www.fci.be/Nomenclature/Standards/338g05-en.pdf,
254,Tibetan Mastiff,https://www.akc.org/dog-breeds/tibetan-mastiff/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223620/Tibetan-Mastiff-Care-500x749.jpg,Working Group,"90-150 pounds (male), 70-120 pounds (female)","minimum 26 inches (male), minimum 24 inches (female)",10-12 years,"['Independent', ' Reserved', ' Intelligent']",http://images.akc.org/pdf/breeds/standards/TibetanMastiff.pdf,Ranks 131 of 195
255,Tibetan Spaniel,https://www.akc.org/dog-breeds/tibetan-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223549/Tibetan-Spaniel-Care.jpg,Non-Sporting Group,9-15 pounds,10 inches,12-15 years,"['Playful', ' Bright', ' Self-Confident']",http://images.akc.org/pdf/breeds/standards/TibetanSpaniel.pdf,Ranks 119 of 195
256,Tibetan Terrier,https://www.akc.org/dog-breeds/tibetan-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223524/Tibetan-Terrier-Care.jpg,Non-Sporting Group,"18-30 pounds (male), slightly smaller (female)",14-17 inches,15-16 years,"['Affectionate', ' Loyal', ' Sensitive']",http://images.akc.org/pdf/breeds/standards/TibetanTerrier.pdf,Ranks 96 of 195
257,Tornjak,https://www.akc.org/dog-breeds/tornjak/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20125415/Tornjak-care1.jpg,Foundation Stock Service,62-110 pounds,23-28 inches,12-14 years,"['Friendly', ' Courageous', ' Intelligent']",http://www.fci.be/Nomenclature/Standards/355g02-en.pdf,
258,Tosa,https://www.akc.org/dog-breeds/tosa/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20134956/Tosa-care.jpg,Foundation Stock Service,100-200 pounds,Minimum 21.5-23.5 inches,10-12 years,"['Fearless', ' Patient', ' Vigilant']",http://www.fci.be/Nomenclature/Standards/260g02-en.pdf,
259,Toy Fox Terrier,https://www.akc.org/dog-breeds/toy-fox-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02121750/Toy-Fox-Terrier-head-portrait.jpg,Toy Group,,8.5-11.5 inches,13-15 years,"['Friendly', ' Alert', ' Intelligent']",http://images.akc.org/pdf/breeds/standards/ToyFoxTerrier.pdf,Ranks 111 of 195
260,Transylvanian Hound,https://www.akc.org/dog-breeds/transylvanian-hound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30113812/Transylvanian-Hound-Care1.jpg,Foundation Stock Service,Minimum 55 pounds,22-26 inches,10-14 years,"['Courageous', ' Good-Natured', ' Determined']",http://www.fci.be/Nomenclature/Standards/241g06-en.pdf,
261,Treeing Tennessee Brindle,https://www.akc.org/dog-breeds/treeing-tennessee-brindle/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205438/Treeing-Tennessee-Brindle-Care.jpg,Foundation Stock Service,30-50 pounds,16-24 inches,10-12 years,"['Friendly', ' Alert', ' Intelligent']",,
262,Treeing Walker Coonhound,https://www.akc.org/dog-breeds/treeing-walker-coonhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30160203/Treeing-Walker-Coonhound-head-portrait.jpg,Hound Group,50-70 pounds,"22-27 inches (male), 20-25 inches (female)",12-13 years,"['Smart', ' Brave', ' Courteous']",http://images.akc.org/pdf/breeds/standards/TreeingWalkerCoonhound.pdf,Ranks 137 of 195
263,Vizsla,https://www.akc.org/dog-breeds/vizsla/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213807/Visla-Care.jpg,Sporting Group,"55-60 pounds (male), 44-55 pounds (female)","22-24 inches (male), 21-23 inches (female)",12-14 years,"['Affectionate', ' Gentle', ' Energetic']",http://images.akc.org/pdf/breeds/standards/Vizsla.pdf,Ranks 31 of 195
264,Weimaraner,https://www.akc.org/dog-breeds/weimaraner/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17155742/Weimaraner-sitting.jpg,Sporting Group,"70-90 pounds (male), 55-75 pounds (female)","25-27 inches (male), 23-25 inches (female)",10-13 years,"['Friendly', ' Fearless', ' Obedient']",http://images.akc.org/pdf/breeds/standards/Weimaraner.pdf,Ranks 36 of 195
265,Welsh Springer Spaniel,https://www.akc.org/dog-breeds/welsh-springer-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223215/Welsh-Springer-Spaniel-Care.jpg,Sporting Group,"40-55 pounds (male), 35-50 pounds (female)","18-19 inches (male), 17-18 inches (female)",12-15 years,"['Happy', ' Reserved', ' Upbeat']",http://images.akc.org/pdf/breeds/standards/WelshSpringerSpaniel.pdf,Ranks 128 of 195
266,Welsh Terrier,https://www.akc.org/dog-breeds/welsh-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223152/Welsh-Terrier-Care.jpg,Terrier Group,"20 pounds, porportionally smaller (female)","15 inches (male), porportionally smaller (female)",12-15 years,"['Friendly', ' Spirited', ' Intelligent']",http://images.akc.org/pdf/breeds/standards/WelshTerrier.pdf,Ranks 107 of 195
267,West Highland White Terrier,https://www.akc.org/dog-breeds/west-highland-white-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27132935/Westie-Care.jpg,Terrier Group,15-20 pounds,"11 inches (male). 10 inches, female",13-15 years,"['Loyal', ' Happy', ' Entertaining']",http://images.akc.org/pdf/breeds/standards/WestHighlandWhiteTerrier.pdf,Ranks 42 of 195
268,Wetterhoun,https://www.akc.org/dog-breeds/wetterhoun/,false,Foundation Stock Service,50 - 75 pounds,"23 inches (male), 21. 5 inches (female)",13 years,"['Loyal', ' Good-Natured', ' Intelligent']",http://www.fci.be/Nomenclature/Standards/221g08-en.pdf,
269,Whippet,https://www.akc.org/dog-breeds/whippet/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29115913/Whippet-care2.jpg,Hound Group,25-40 pounds,"19-22 inches (male), 18-21 inches (female)",12-15 years,"['Affectionate', ' Playful', ' Calm']",http://images.akc.org/pdf/breeds/standards/Whippet.pdf,Ranks 61 of 195
